1000,0.0507492
2000,0.194921
3000,0.00427214
4000,0.00771941
5000,0.0121969
6000,0.0180733
7000,0.0247544
8000,0.0304388
9000,0.0399728
10000,0.0471915
11000,0.0563163
12000,0.0666793
13000,0.0784763
14000,0.0922109
15000,0.105169
16000,0.12036
17000,0.135038
18000,0.152715
19000,0.166195
20000,0.183288
21000,0.204037
22000,0.220613
23000,0.243047
24000,0.262949
25000,0.284926
26000,0.315597
27000,0.333334
28000,0.367546
29000,0.390469
30000,0.416259
31000,0.43713
32000,0.47207
33000,0.493228
34000,0.528135
35000,0.573425
