1,9.8e-08
2,1.22e-07
3,1.69e-07
4,1.83e-07
5,2.22e-07
6,2.11e-07
7,2.52e-07
8,4e-07
9,4.26e-07
10,4.95e-07
11,4.87e-07
12,5.96e-07
13,6.07e-07
14,6.76e-07
15,7.9e-07
16,9.18e-07
17,9.23e-07
18,1.052e-06
19,1.208e-06
20,1.304e-06
21,1.496e-06
22,1.652e-06
23,1.678e-06
24,1.796e-06
25,1.865e-06
