1000,0.00128062
2000,0.00494392
3000,0.0107846
4000,0.0190363
5000,0.0290049
6000,0.0417463
7000,0.056829
8000,0.074506
9000,0.0937439
10000,0.120899
11000,0.146712
12000,0.16882
13000,0.197715
14000,0.229951
15000,0.266283
16000,0.308386
17000,0.339635
18000,0.395265
19000,0.430017
20000,0.472572
21000,0.520983
22000,0.577108
23000,0.661747
24000,0.699163
25000,0.745969
26000,0.790776
27000,0.85076
28000,0.936871
29000,1.0011
30000,1.06186
31000,1.14096
32000,1.20885
33000,1.28216
34000,1.3752
35000,1.47001
