1000,0.000394111
2000,0.00164918
3000,0.00370318
4000,0.00655303
5000,0.0104249
6000,0.0149241
7000,0.0203957
8000,0.0262846
9000,0.0331596
10000,0.0413018
11000,0.049628
12000,0.0588039
13000,0.0691303
14000,0.0795406
15000,0.0931013
16000,0.105894
17000,0.118275
18000,0.131365
19000,0.146577
20000,0.163316
21000,0.180018
22000,0.200415
23000,0.215635
24000,0.234647
25000,0.252221
26000,0.277755
27000,0.294963
28000,0.315499
29000,0.341928
30000,0.365663
31000,0.389944
32000,0.424888
33000,0.441153
34000,0.475582
35000,0.497147
