1000,0.000303425
2000,0.00118489
3000,0.00273074
4000,0.00495307
5000,0.00779367
6000,0.0111679
7000,0.015719
8000,0.0203325
9000,0.0250042
10000,0.0334055
11000,0.0371124
12000,0.0437312
13000,0.0531294
14000,0.0605292
15000,0.0678626
16000,0.0775122
17000,0.0857529
18000,0.0973823
19000,0.108259
20000,0.119829
21000,0.131816
22000,0.144409
23000,0.158134
24000,0.172642
25000,0.185073
26000,0.201248
27000,0.21768
28000,0.236125
29000,0.249836
30000,0.267376
31000,0.284786
32000,0.305774
33000,0.324868
34000,0.344282
35000,0.366523
