1000,0.000677493
2000,0.00275606
3000,0.00669238
4000,0.013301
5000,0.0224053
6000,0.0349273
7000,0.0502273
8000,0.0682356
9000,0.0905028
10000,0.114268
11000,0.140893
12000,0.173099
13000,0.204735
14000,0.240566
15000,0.284908
16000,0.330246
17000,0.370028
18000,0.416786
19000,0.472635
20000,0.524153
21000,0.58658
22000,0.650685
23000,0.711542
24000,0.773852
25000,0.845037
26000,0.920397
27000,1.00539
28000,1.10168
29000,1.15907
30000,1.26373
31000,1.33993
32000,1.44225
33000,1.53568
34000,1.62477
35000,1.74507
