1000,0.00163878
2000,0.00648541
3000,0.0144959
4000,0.0271765
5000,0.0460665
6000,0.0686737
7000,0.0985109
8000,0.130974
9000,0.17042
10000,0.21466
11000,0.267826
12000,0.319583
13000,0.380808
14000,0.447768
15000,0.516807
16000,0.59053
17000,0.66985
18000,0.765694
19000,0.86069
20000,0.974703
21000,1.06859
22000,1.24213
23000,1.37154
24000,1.59735
25000,1.63384
26000,1.77427
27000,1.88275
28000,2.1594
29000,2.18708
30000,2.22694
31000,2.36625
32000,2.49679
33000,2.67365
34000,2.83929
35000,3.01601
