1000,5.0206e-05
2000,9.4657e-05
3000,0.000173778
4000,0.00021195
5000,0.000283667
6000,0.000377717
7000,0.000384458
8000,0.000454253
9000,0.000538787
10000,0.000612704
11000,0.000785
12000,0.000817
13000,0.00077
14000,0.000853
15000,0.000928
16000,0.001068
17000,0.001073
18000,0.001173
19000,0.001405
20000,0.001409
21000,0.001555
22000,0.001606
23000,0.001739
24000,0.001814
25000,0.001987
26000,0.00174
27000,0.001877
28000,0.001978
29000,0.002051
30000,0.002072
31000,0.00222
32000,0.002253
33000,0.002364
34000,0.002718
35000,0.003063
